Id,OrderNumber,AccountId,InstrumentId,Volume,OpenDate,OpenPrice,Swap,TakeProfit,StopLoss,Margin,IsBuy,Commission,CurrentPrice,Profit,TradeVolume,TotalProfit,ClientType
184914,184099,100037,8192,0.10000000,2019-12-19 13:06:15.230,1.30753000,-10.07500000,0.00000000,0.00000000,130.75300000,1,0.00000000,1.30502000,-25.10000000,13051.50000000,-35.17500000,1
185094,185094,100037,8151,1.00000000,2020-01-10 07:33:10.000,83.93600000,28.84663413,0.00000000,0.00000000,765.91377343,1,0.00000000,84.45900000,474.72088590,76660.66158150,503.56752003,5
122,122,100450,7388,0.01000000,2017-11-15 16:07:17.160,113.06600000,20.25049603,0.00000000,0.00000000,5.00000000,1,0.00000000,110.17000000,-26.28664790,1000.00000000,-6.03615186,0
1329,1329,101407,7388,0.01000000,2018-01-11 23:52:00.807,111.32600000,20.13263845,0.00000000,0.00000000,5.00000000,1,0.00000000,110.17000000,-10.49287464,1000.00000000,9.63976380,0
183829,183829,103094,7381,0.10000000,2019-12-13 16:54:11.573,1.31972000,1.72022655,0.00000000,0.00000000,50.00000000,1,0.00000000,1.30434000,-117.91404081,10000.00000000,-116.19381426,4
184892,184892,103094,7388,0.10000000,2020-01-08 10:23:32.187,108.47800000,-10.80511149,0.00000000,0.00000000,50.00000000,0,0.00000000,110.17800000,-154.29577592,10000.00000000,-165.10088742,4
184944,184944,103094,7381,0.10000000,2020-01-08 14:53:25.350,1.30215000,-3.92520949,0.00000000,0.00000000,50.00000000,0,0.00000000,1.30445000,-17.63195216,10000.00000000,-21.55716166,4
185492,185492,103094,7388,0.10000000,2020-01-16 14:09:04.790,110.03000000,-0.82745215,0.00000000,0.00000000,50.00000000,0,0.00000000,110.17800000,-13.43280872,10000.00000000,-14.26026088,4
175425,175425,103094,7388,0.10000000,2019-10-10 14:08:21.617,107.80700000,-106.20737531,0.00000000,0.00000000,50.00000000,0,0.00000000,110.17800000,-215.19722630,10000.00000000,-321.40460161,4
185035,185035,104612,7227,0.10000000,2020-01-09 12:36:54.670,0.97325000,3.18926091,0.98650000,0.00000000,44.98546969,1,0.00000000,0.96627000,-64.94456291,10000.00000000,-61.75530200,1
72960,72960,104824,7315,0.02000000,2019-02-04 14:07:17.027,1.14409000,-93.95940000,0.00000000,0.00000000,11.44090000,1,0.00000000,1.11228000,-63.62000000,2224.68000000,-157.57940000,2
6156,6156,105012,8136,0.02000000,2018-05-08 13:43:00.157,0.74396000,-31.64360000,0.00000000,0.00000000,14.87920000,1,0.00000000,0.69035000,-107.22000000,1380.90000000,-138.86360000,0
149138,149138,108462,8346,0.20000000,2019-07-02 08:15:06.310,1.12882000,161.21828211,0.00000000,0.00000000,100.00000000,0,0.00000000,1.11243000,294.67022644,22243.80000000,455.88850855,1
184435,184435,110003,8510,0.10000000,2020-01-02 08:20:19.663,1.12129000,-19.96900000,1.12300000,0.00000000,56.06450000,1,0.00000000,1.11219000,-91.00000000,11124.30000000,-110.96900000,2
184998,184998,110003,8520,0.10000000,2020-01-09 07:35:01.037,1.31043000,-7.75000000,1.31200000,0.00000000,65.52150000,1,0.00000000,1.30492000,-55.10000000,13052.50000000,-62.85000000,2
185306,185306,110003,8520,0.10000000,2020-01-14 08:20:37.910,1.29649000,0.97500000,1.29500000,0.00000000,64.82450000,0,0.00000000,1.30525000,-87.60000000,13049.20000000,-86.62500000,2
185515,185515,110003,8577,0.10000000,2020-01-17 07:10:06.740,0.96498000,0.00000000,0.97100000,0.96200000,50.00000000,1,0.00000000,0.96618000,12.42004595,10000.00000000,12.42004595,2
185519,185519,110003,8464,0.10000000,2020-01-17 07:12:21.287,0.69061000,0.00000000,0.69500000,0.68600000,34.53050000,1,0.00000000,0.69026000,-3.50000000,6905.40000000,-3.50000000,2
15440,15440,110629,8510,0.10000000,2018-07-27 20:21:18.700,1.16575000,260.59400000,0.00000000,0.00000000,58.28750000,0,0.00000000,1.11243000,533.20000000,11121.90000000,793.79400000,0
180332,180332,111217,8929,0.50000000,2019-11-11 08:38:12.830,2.69600000,0.00000000,0.00000000,0.00000000,539.20000000,1,0.00000000,2.02900000,-3335.00000000,10145.00000000,-3335.00000000,4
181299,181299,111217,8929,0.30000000,2019-11-19 15:24:14.180,2.53100000,0.00000000,0.00000000,0.00000000,303.72000000,1,0.00000000,2.02900000,-1506.00000000,6087.00000000,-1506.00000000,3
164734,164734,111217,8931,5.00000000,2019-08-27 12:53:51.110,11750.00000000,0.00000000,0.00000000,0.00000000,652.60125656,0,0.00000000,13527.85000000,-9888.22391500,75231.07942000,-9888.22391500,3
