iter	Passed	Remaining
400	21014	31390
401	21064	31334
402	21117	31283
403	21168	31228
404	21219	31174
405	21272	31123
406	21327	31073
407	21375	31014
408	21433	30970
409	21480	30910
410	21535	30862
411	21589	30812
412	21643	30761
413	21698	30713
414	21751	30661
415	21802	30606
416	21854	30554
417	21911	30508
418	21960	30451
419	22007	30391
420	22054	30331
421	22108	30281
422	22159	30227
423	22212	30176
424	22264	30122
425	22318	30071
426	22370	30019
427	22422	29967
428	22470	29908
429	22520	29852
430	22568	29795
431	22625	29748
432	22680	29699
433	22733	29648
434	22789	29600
435	22848	29556
436	22900	29502
437	22952	29451
438	23006	29400
439	23056	29344
440	23109	29293
441	23162	29241
442	23215	29189
443	23271	29141
444	23325	29091
445	23384	29047
446	23436	28994
447	23490	28944
448	23544	28893
449	23599	28843
450	23653	28793
451	23705	28740
452	23757	28687
453	23811	28636
454	23862	28582
455	23913	28527
456	23963	28472
457	24015	28420
458	24064	28363
459	24112	28306
460	24167	28257
461	24219	28203
462	24272	28151
463	24322	28097
464	24374	28043
465	24430	27995
466	24483	27943
467	24541	27898
468	24593	27844
469	24649	27796
470	24703	27745
471	24758	27696
472	24812	27645
473	24863	27591
474	24913	27535
475	24965	27482
476	25016	27429
477	25067	27375
478	25119	27322
479	25169	27266
480	25224	27216
481	25282	27171
482	25334	27117
483	25388	27067
484	25441	27015
485	25495	26964
486	25552	26917
487	25608	26867
488	25663	26818
489	25720	26770
490	25777	26722
491	25828	26668
492	25881	26616
493	25932	26562
494	25984	26509
495	26035	26455
496	26088	26403
497	26143	26353
498	26194	26299
499	26246	26246
500	26299	26194
501	26355	26145
502	26410	26095
503	26470	26049
504	26522	25996
505	26572	25941
506	26623	25888
507	26677	25837
508	26730	25785
509	26785	25735
510	26836	25680
511	26886	25625
512	26940	25575
513	26998	25527
514	27052	25476
515	27106	25425
516	27156	25370
517	27209	25318
518	27260	25264
519	27314	25213
520	27373	25166
521	27429	25117
522	27481	25064
523	27533	25011
524	27581	24954
525	27634	24902
526	27692	24855
527	27743	24801
528	27795	24747
529	27852	24699
530	27902	24644
531	27954	24591
532	28006	24538
533	28057	24485
534	28112	24434
535	28166	24383
536	28219	24330
537	28273	24279
538	28326	24226
539	28383	24178
540	28428	24119
541	28479	24065
542	28530	24012
543	28583	23959
544	28640	23910
545	28695	23859
546	28745	23805
547	28800	23755
548	28855	23704
549	28907	23651
550	28962	23601
551	29012	23546
552	29065	23494
553	29120	23443
554	29174	23391
555	29229	23341
556	29283	23290
557	29336	23237
558	29392	23187
559	29449	23138
560	29499	23084
561	29554	23033
562	29609	22982
563	29658	22927
564	29713	22877
565	29769	22826
566	29821	22773
567	29871	22719
568	29923	22666
569	29971	22610
570	30027	22560
571	30079	22507
572	30135	22457
573	30191	22406
574	30246	22356
575	30303	22306
576	30357	22255
577	30412	22204
578	30464	22150
579	30517	22099
580	30573	22048
581	30628	21998
582	30683	21947
583	30738	21896
584	30800	21850
585	30854	21798
586	30905	21744
587	30957	21691
588	31014	21641
589	31063	21586
590	31113	21532
591	31167	21480
592	31221	21428
593	31272	21374
594	31326	21322
595	31377	21269
596	31433	21218
597	31491	21169
598	31541	21115
599	31597	21065
600	31652	21014
601	31705	20961
602	31760	20910
603	31813	20857
604	31864	20803
605	31913	20749
606	31965	20696
607	32017	20642
608	32073	20592
609	32125	20539
610	32176	20485
611	32228	20432
612	32285	20382
613	32340	20331
614	32390	20277
615	32448	20227
616	32494	20170
617	32549	20119
618	32596	20063
619	32652	20012
620	32704	19959
621	32756	19906
622	32803	19850
623	32859	19799
624	32911	19747
625	32964	19694
626	33015	19640
627	33067	19587
628	33119	19534
629	33173	19482
630	33226	19430
631	33284	19381
632	33340	19330
633	33393	19277
634	33445	19224
635	33495	19170
636	33546	19116
637	33601	19065
638	33650	19010
639	33703	18958
640	33757	18906
641	33803	18850
642	33856	18797
643	33907	18743
644	33958	18690
645	34016	18640
646	34066	18586
647	34120	18534
648	34172	18481
649	34222	18427
650	34278	18376
651	34327	18321
652	34380	18269
653	34436	18218
654	34490	18166
655	34542	18113
656	34595	18061
657	34653	18011
658	34707	17959
659	34761	17907
660	34813	17854
661	34864	17801
662	34924	17751
663	34974	17697
664	35024	17644
665	35078	17591
666	35131	17539
667	35181	17485
668	35237	17434
669	35288	17380
670	35341	17328
671	35392	17275
672	35439	17219
673	35492	17166
674	35548	17115
675	35596	17060
676	35642	17005
677	35697	16953
678	35754	16902
679	35808	16851
680	35860	16797
681	35915	16746
682	35962	16691
683	36018	16640
684	36072	16588
685	36119	16533
686	36172	16480
687	36225	16427
688	36276	16374
689	36332	16323
690	36390	16273
691	36444	16221
692	36496	16168
693	36549	16115
694	36604	16064
695	36659	16012
696	36709	15958
697	36768	15908
698	36824	15857
699	36881	15806
700	36938	15755
701	36989	15701
702	37040	15648
703	37092	15595
704	37147	15543
705	37196	15489
706	37245	15435
707	37296	15382
708	37351	15330
709	37401	15276
710	37454	15223
711	37503	15169
712	37557	15117
713	37608	15064
714	37662	15012
715	37716	14960
716	37765	14906
717	37816	14852
718	37872	14801
719	37928	14749
720	37978	14696
721	38031	14643
722	38083	14590
723	38138	14538
724	38193	14487
725	38251	14436
726	38307	14385
727	38361	14332
728	38416	14280
729	38468	14228
730	38523	14176
731	38576	14123
732	38632	14072
733	38684	14019
734	38745	13969
735	38799	13917
736	38852	13864
737	38904	13811
738	38958	13759
739	39008	13705
740	39065	13654
741	39122	13603
742	39177	13551
743	39232	13499
744	39290	13448
745	39341	13395
746	39399	13344
747	39450	13290
748	39509	13240
749	39564	13188
750	39617	13135
751	39675	13084
752	39731	13032
753	39784	12980
754	39837	12927
755	39897	12876
756	39952	12824
757	40005	12772
758	40060	12720
759	40109	12666
760	40156	12611
761	40211	12559
762	40265	12507
763	40322	12455
764	40376	12403
765	40433	12351
766	40483	12298
767	40534	12244
768	40588	12192
769	40644	12140
770	40697	12087
771	40750	12035
772	40806	11983
773	40863	11931
774	40920	11880
775	40975	11827
776	41027	11774
777	41083	11723
778	41139	11671
779	41194	11619
780	41250	11566
781	41304	11514
782	41358	11461
783	41410	11408
784	41461	11355
785	41510	11301
786	41558	11247
787	41611	11195
788	41666	11142
789	41722	11090
790	41773	11037
791	41828	10985
792	41880	10932
793	41936	10880
794	41986	10826
795	42042	10774
796	42095	10721
797	42146	10668
798	42198	10615
799	42251	10562
800	42301	10509
801	42359	10457
802	42410	10404
803	42466	10352
804	42518	10299
805	42571	10246
806	42625	10194
807	42676	10140
808	42740	10090
809	42795	10038
810	42851	9986
811	42907	9934
812	42963	9882
813	43015	9829
814	43070	9776
815	43123	9724
816	43180	9671
817	43234	9619
818	43284	9565
819	43338	9513
820	43393	9460
821	43447	9408
822	43505	9356
823	43558	9303
824	43616	9251
825	43670	9199
826	43729	9147
827	43784	9095
828	43835	9042
829	43887	8988
830	43938	8935
831	43994	8883
832	44049	8830
833	44102	8778
834	44158	8725
835	44212	8673
836	44268	8620
837	44322	8568
838	44370	8514
839	44425	8462
840	44482	8409
841	44538	8357
842	44588	8304
843	44642	8251
844	44697	8199
845	44758	8147
846	44810	8094
847	44861	8041
848	44919	7989
849	44972	7936
850	45022	7882
851	45079	7830
852	45132	7777
853	45183	7724
854	45233	7671
855	45288	7618
856	45344	7566
857	45397	7513
858	45456	7461
859	45513	7409
860	45565	7356
861	45618	7303
862	45675	7250
863	45736	7199
864	45792	7146
865	45846	7094
866	45900	7041
867	45948	6987
868	46006	6935
869	46059	6882
870	46114	6829
871	46170	6777
872	46226	6724
873	46280	6672
874	46334	6619
875	46389	6566
876	46447	6514
877	46505	6462
878	46559	6409
879	46609	6355
880	46661	6302
881	46714	6249
882	46765	6196
883	46820	6143
884	46875	6091
885	46931	6038
886	46984	5985
887	47033	5932
888	47087	5879
889	47147	5827
890	47204	5774
891	47255	5721
892	47312	5668
893	47364	5615
894	47421	5563
895	47474	5510
896	47531	5457
897	47583	5404
898	47635	5351
899	47686	5298
900	47736	5245
901	47788	5192
902	47841	5139
903	47895	5086
904	47947	5033
905	48001	4980
906	48057	4927
907	48114	4875
908	48165	4821
909	48218	4768
910	48274	4716
911	48329	4663
912	48384	4610
913	48440	4557
914	48490	4504
915	48548	4452
916	48602	4399
917	48657	4346
918	48713	4293
919	48766	4240
920	48818	4187
921	48873	4134
922	48925	4081
923	48978	4028
924	49034	3975
925	49088	3922
926	49140	3869
927	49191	3816
928	49243	3763
929	49298	3710
930	49353	3657
931	49412	3605
932	49466	3552
933	49518	3499
934	49569	3446
935	49624	3393
936	49680	3340
937	49735	3287
938	49794	3234
939	49850	3181
940	49900	3128
941	49956	3075
942	50012	3023
943	50066	2970
944	50121	2917
945	50174	2864
946	50229	2811
947	50283	2758
948	50335	2705
949	50386	2651
950	50442	2599
951	50498	2546
952	50551	2493
953	50603	2439
954	50656	2386
955	50710	2333
956	50765	2280
957	50821	2228
958	50875	2175
959	50925	2121
960	50976	2068
961	51032	2015
962	51087	1962
963	51144	1909
964	51196	1856
965	51247	1803
966	51297	1750
967	51352	1697
968	51404	1644
969	51457	1591
970	51517	1538
971	51570	1485
972	51626	1432
973	51679	1379
974	51733	1326
975	51787	1273
976	51840	1220
977	51894	1167
978	51949	1114
979	52005	1061
980	52057	1008
981	52113	955
982	52170	902
983	52220	849
984	52275	796
